trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
150,False,"{'a': 0.25, 'e': 0.22145178723886094}",20,8,7.391388696760631,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.25, 'e': 0.21923726936647234}",25,6,5.758495804408177,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
152,False,"{'a': 0.25, 'e': 0.2170448966728076}",20,9,1.2445711535133641,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.25, 'e': 0.21487444770607952}",20,3,-2.3794847469877682,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
154,False,"{'a': 0.25, 'e': 0.21272570322901874}",30,18,22.979348541728672,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.25, 'e': 0.21059844619672854}",20,0,5.823500971088372,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
156,False,"{'a': 0.25, 'e': 0.20849246173476127}",25,0,25.691683714094186,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
157,False,"{'a': 0.25, 'e': 0.20640753711741366}",25,0,5.425636104348488,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
158,False,"{'a': 0.25, 'e': 0.20434346174623952}",20,10,0.8774032536633194,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.25, 'e': 0.20230002712877712}",25,13,11.254475680167147,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.25, 'e': 0.20027702685748935}",20,5,8.461050767177381,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.25, 'e': 0.19827425658891445}",20,9,-5.40953203282311,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
162,False,"{'a': 0.25, 'e': 0.1962915140230253}",30,13,6.837657351004399,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
163,False,"{'a': 0.25, 'e': 0.19432859888279505}",25,0,-24.83389998523694,"{0: 21, 1: 1, 2: 1, 3: 2, 4: 0}",0
164,False,"{'a': 0.25, 'e': 0.1923853128939671}",20,6,9.28153109369816,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.25, 'e': 0.19046145976502743}",25,3,33.67471624439942,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.25, 'e': 0.18855684516737714}",20,0,-10.626929801754248,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
167,False,"{'a': 0.25, 'e': 0.18667127671570335}",20,12,15.593288654533167,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.25, 'e': 0.18480456394854633}",20,11,15.124626561162465,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.25, 'e': 0.18295651830906087}",25,13,11.987976865189676,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.25, 'e': 0.18112695312597027}",30,20,21.39749205196553,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.25, 'e': 0.17931568359471056}",20,6,3.4884494036775107,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
172,False,"{'a': 0.25, 'e': 0.17752252675876345}",30,15,16.37434518883806,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.25, 'e': 0.17574730149117582}",30,10,27.0696360270838,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.25, 'e': 0.17398982847626407}",20,9,5.849327630033925,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
